0.29,0.00,9.22
0.29,0.29,9.32
0.49,0.69,9.51
0.59,0.69,9.71
0.69,6.57,9.61
0.88,1.27,10.40
0.88,1.08,10.10
0.98,1.08,10.00
0.98,1.27,10.10
0.69,0.88,10.10
0.29,0.98,10.10
0.20,0.69,10.00
0.10,0.39,9.71
0.00,0.20,9.61
0.20,-0.29,9.32
0.59,-0.39,9.32
0.69,-0.10,9.51
0.49,0.39,9.71
0.29,0.39,9.61
0.00,0.59,9.61
-0.10,0.59,9.71
0.00,0.69,9.61
0.10,0.78,9.51
0.10,0.88,9.61
0.00,0.69,9.71
0.10,0.59,9.51
0.20,0.39,9.61
0.20,0.20,9.51
0.20,0.00,9.41
0.29,0.29,9.51
0.59,0.29,10.00
0.98,0.88,9.81
0.88,0.88,10.00
0.69,0.78,10.00
0.49,0.39,9.81
0.29,0.49,9.71
0.00,0.49,9.61
-0.20,0.59,9.61
0.00,0.69,9.61
-0.10,0.69,9.71
0.00,0.78,9.61
0.10,1.08,9.61
0.10,1.08,9.61
0.20,0.98,9.71
0.39,0.78,9.51
0.20,0.88,9.61
0.10,1.08,9.61
0.00,1.18,9.51
-0.10,0.98,9.51
-0.20,0.88,9.41
-0.29,0.69,9.41
-0.20,0.78,9.32
0.00,0.78,9.41
0.00,0.88,9.51
0.20,0.98,9.51
0.20,0.98,9.51
0.10,0.78,9.41
0.00,0.88,9.51
0.00,1.18,9.61
0.00,1.18,9.71
0.29,1.18,9.71
0.39,0.88,9.51
0.29,0.39,9.51
0.88,0.78,9.51
1.08,0.98,9.71
0.59,1.18,9.90
0.10,1.47,10.00
0.00,1.47,10.00
-0.20,1.27,9.90
-0.39,0.88,9.81
-0.49,0.78,9.90
-0.39,0.98,9.90
-0.49,1.08,10.00
-0.49,1.18,10.10
-0.49,1.18,9.90
-0.29,0.98,9.81
-0.10,0.69,9.90
-0.20,0.59,9.90
0.00,0.59,10.10
-0.10,0.88,10.20
-0.10,0.59,10.10
-0.20,0.20,9.81
0.00,-0.10,9.61
0.20,-0.39,9.51
0.20,-0.39,9.51
0.29,-0.29,9.51
0.20,-0.29,9.51
0.29,-0.10,9.51
0.39,0.00,9.71
0.59,0.00,9.71
0.69,-0.20,9.71
0.78,0.00,9.71
0.78,0.39,9.90
0.59,0.49,9.90
0.29,0.29,9.71
0.00,0.00,9.71
0.00,0.00,9.61
0.00,0.10,9.51
0.00,0.10,9.41
-0.20,0.00,9.32
-0.10,-0.29,9.22
0.10,-0.29,9.22
0.10,-0.20,9.32
-0.10,0.00,9.32
-0.20,0.00,9.12
-0.10,-0.59,8.83
0.00,-1.18,8.53
0.10,-1.18,8.73
-0.20,-1.08,8.73
-0.49,-1.27,8.92
-0.78,-1.27,8.83
-0.98,-1.08,9.02
-0.88,-0.98,9.32
-0.78,-1.08,9.41
-0.69,-0.29,9.61
-0.10,-0.98,9.81
0.39,-0.69,9.90
0.78,-0.59,10.10
1.27,-0.29,10.40
1.37,-0.59,10.30
1.47,-0.78,10.20
1.47,-0.98,9.90
1.37,-0.88,9.81
1.08,-0.59,9.81
0.49,-0.59,9.61
0.29,-0.69,9.32
0.39,-0.98,9.02
0.29,-0.98,9.12
0.29,-0.98,9.22
0.10,-0.98,9.41
-0.10,-0.88,9.41
-0.10,-1.08,9.51
0.00,-1.18,9.41
0.39,-1.18,9.51
0.49,-1.18,9.61
0.49,-1.18,9.41
0.10,-1.18,9.32
-0.10,-1.27,9.12
-0.29,-1.47,9.12
-0.20,-1.27,9.12
0.00,-1.08,9.12
0.39,-1.37,9.51
0.39,-0.59,9.41
0.39,-0.88,9.71
0.00,-1.37,10.00
0.49,-1.37,9.22
0.69,-1.18,9.32
0.59,-0.88,9.22
0.29,-1.08,9.12
0.00,-1.08,9.12
-0.49,-1.47,9.02
-0.69,-1.86,8.92
-0.49,-1.86,8.92
-0.29,-1.77,8.83
0.00,-1.57,9.12
8.43,8.24,8.63
2.84,1.27,12.85
